Discipline	Season	Year	Event	Gender	Prompt
Field Hockey	Summer	1996	Field Hockey	Men	Who won the medals in the Men's Field Hockey event at the 1996 olympic games?
Field Hockey	Summer	1996	Field Hockey	Women	Who won the medals in the Women's Field Hockey event at the 1996 olympic games?
Fencing	Summer	1996	Foil, Team	Men	Who won the medals in the Men's Fencing Foil, Team event at the 1996 olympic games?
Fencing	Summer	1996	Foil, Team	Women	Who won the medals in the Women's Fencing Foil, Team event at the 1996 olympic games?
Football	Summer	1996	Football	Men	Who won the medals in the Men's Football event at the 1996 olympic games?
Football	Summer	1996	Football	Women	Who won the medals in the Women's Football event at the 1996 olympic games?
Handball	Summer	1996	Handball	Men	Who won the medals in the Men's Handball event at the 1996 olympic games?
Handball	Summer	1996	Handball	Women	Who won the medals in the Women's Handball event at the 1996 olympic games?
Indoor Volleyball	Summer	1996	Indoor Volleyball	Men	Who won the medals in the Men's Indoor Volleyball event at the 1996 olympic games?
Indoor Volleyball	Summer	1996	Indoor Volleyball	Women	Who won the medals in the Women's Indoor Volleyball event at the 1996 olympic games?
Rowing	Summer	1996	Quadruple Sculls	Men	Who won the medals in the Men's Rowing Quadruple Sculls event at the 1996 olympic games?
Rowing	Summer	1996	Quadruple Sculls	Women	Who won the medals in the Women's Rowing Quadruple Sculls event at the 1996 olympic games?
Archery	Summer	1996	Team	Men	Who won the medals in the Men's Archery Team event at the 1996 olympic games?
Archery	Summer	1996	Team	Women	Who won the medals in the Women's Archery Team event at the 1996 olympic games?
Artistic Gymnastics	Summer	1996	Team All-Around	Men	Who won the medals in the Men's Artistic Gymnastics Team All-Around event at the 1996 olympic games?
Artistic Gymnastics	Summer	1996	Team All-Around	Women	Who won the medals in the Women's Artistic Gymnastics Team All-Around event at the 1996 olympic games?
Fencing	Summer	1996	Épée, Team	Men	Who won the medals in the Men's Fencing Épée, Team event at the 1996 olympic games?
Fencing	Summer	1996	Épée, Team	Women	Who won the medals in the Women's Fencing Épée, Team event at the 1996 olympic games?
Biathlon	Winter	1998	4 x 7.5 kilometres Relay	Men	Who won the medals in the Men's Biathlon 4 x 7.5 kilometres Relay event at the 1998 olympic games?
Biathlon	Winter	1998	4 x 7.5 kilometres Relay	Women	Who won the medals in the Women's Biathlon 4 x 7.5 kilometres Relay event at the 1998 olympic games?
Curling	Winter	1998	Curling	Men	Who won the medals in the Men's Curling event at the 1998 olympic games?
Curling	Winter	1998	Curling	Women	Who won the medals in the Women's Curling event at the 1998 olympic games?
Ice Hockey	Winter	1998	Ice Hockey	Men	Who won the medals in the Men's Ice Hockey event at the 1998 olympic games?
Ice Hockey	Winter	1998	Ice Hockey	Women	Who won the medals in the Women's Ice Hockey event at the 1998 olympic games?
Swimming	Summer	2000	4 x 100 metres Freestyle Relay	Men	Who won the medals in the Men's Swimming 4 x 100 metres Freestyle Relay event at the 2000 olympic games?
Swimming	Summer	2000	4 x 100 metres Freestyle Relay	Women	Who won the medals in the Women's Swimming 4 x 100 metres Freestyle Relay event at the 2000 olympic games?
Swimming	Summer	2000	4 x 100 metres Medley Relay	Men	Who won the medals in the Men's Swimming 4 x 100 metres Medley Relay event at the 2000 olympic games?
Swimming	Summer	2000	4 x 100 metres Medley Relay	Women	Who won the medals in the Women's Swimming 4 x 100 metres Medley Relay event at the 2000 olympic games?
Athletics	Summer	2000	4 x 100 metres Relay	Men	Who won the medals in the Men's Athletics 4 x 100 metres Relay event at the 2000 olympic games?
Athletics	Summer	2000	4 x 100 metres Relay	Women	Who won the medals in the Women's Athletics 4 x 100 metres Relay event at the 2000 olympic games?
Swimming	Summer	2000	4 x 200 metres Freestyle Relay	Men	Who won the medals in the Men's Swimming 4 x 200 metres Freestyle Relay event at the 2000 olympic games?
Swimming	Summer	2000	4 x 200 metres Freestyle Relay	Women	Who won the medals in the Women's Swimming 4 x 200 metres Freestyle Relay event at the 2000 olympic games?
Athletics	Summer	2000	4 x 400 metres Relay	Men	Who won the medals in the Men's Athletics 4 x 400 metres Relay event at the 2000 olympic games?
Athletics	Summer	2000	4 x 400 metres Relay	Women	Who won the medals in the Women's Athletics 4 x 400 metres Relay event at the 2000 olympic games?
Basketball	Summer	2000	Basketball	Men	Who won the medals in the Men's Basketball event at the 2000 olympic games?
Basketball	Summer	2000	Basketball	Women	Who won the medals in the Women's Basketball event at the 2000 olympic games?
Rowing	Summer	2000	Coxed Eights	Men	Who won the medals in the Men's Rowing Coxed Eights event at the 2000 olympic games?
Rowing	Summer	2000	Coxed Eights	Women	Who won the medals in the Women's Rowing Coxed Eights event at the 2000 olympic games?
Field Hockey	Summer	2000	Field Hockey	Men	Who won the medals in the Men's Field Hockey event at the 2000 olympic games?
Field Hockey	Summer	2000	Field Hockey	Women	Who won the medals in the Women's Field Hockey event at the 2000 olympic games?
Fencing	Summer	2000	Foil, Team	Men	Who won the medals in the Men's Fencing Foil, Team event at the 2000 olympic games?
Fencing	Summer	2000	Foil, Team	Women	Who won the medals in the Women's Fencing Foil, Team event at the 2000 olympic games?
Football	Summer	2000	Football	Men	Who won the medals in the Men's Football event at the 2000 olympic games?
Football	Summer	2000	Football	Women	Who won the medals in the Women's Football event at the 2000 olympic games?
Handball	Summer	2000	Handball	Men	Who won the medals in the Men's Handball event at the 2000 olympic games?
Handball	Summer	2000	Handball	Women	Who won the medals in the Women's Handball event at the 2000 olympic games?
Indoor Volleyball	Summer	2000	Indoor Volleyball	Men	Who won the medals in the Men's Indoor Volleyball event at the 2000 olympic games?
Indoor Volleyball	Summer	2000	Indoor Volleyball	Women	Who won the medals in the Women's Indoor Volleyball event at the 2000 olympic games?
Rowing	Summer	2000	Quadruple Sculls	Men	Who won the medals in the Men's Rowing Quadruple Sculls event at the 2000 olympic games?
Rowing	Summer	2000	Quadruple Sculls	Women	Who won the medals in the Women's Rowing Quadruple Sculls event at the 2000 olympic games?
Archery	Summer	2000	Team	Men	Who won the medals in the Men's Archery Team event at the 2000 olympic games?
Archery	Summer	2000	Team	Women	Who won the medals in the Women's Archery Team event at the 2000 olympic games?
Artistic Gymnastics	Summer	2000	Team All-Around	Men	Who won the medals in the Men's Artistic Gymnastics Team All-Around event at the 2000 olympic games?
Artistic Gymnastics	Summer	2000	Team All-Around	Women	Who won the medals in the Women's Artistic Gymnastics Team All-Around event at the 2000 olympic games?
Water Polo	Summer	2000	Water Polo	Men	Who won the medals in the Men's Water Polo event at the 2000 olympic games?
Water Polo	Summer	2000	Water Polo	Women	Who won the medals in the Women's Water Polo event at the 2000 olympic games?
Fencing	Summer	2000	Épée, Team	Men	Who won the medals in the Men's Fencing Épée, Team event at the 2000 olympic games?
Fencing	Summer	2000	Épée, Team	Women	Who won the medals in the Women's Fencing Épée, Team event at the 2000 olympic games?
Biathlon	Winter	2002	4 x 7.5 kilometres Relay	Men	Who won the medals in the Men's Biathlon 4 x 7.5 kilometres Relay event at the 2002 olympic games?
Biathlon	Winter	2002	4 x 7.5 kilometres Relay	Women	Who won the medals in the Women's Biathlon 4 x 7.5 kilometres Relay event at the 2002 olympic games?
Curling	Winter	2002	Curling	Men	Who won the medals in the Men's Curling event at the 2002 olympic games?
Curling	Winter	2002	Curling	Women	Who won the medals in the Women's Curling event at the 2002 olympic games?
Ice Hockey	Winter	2002	Ice Hockey	Men	Who won the medals in the Men's Ice Hockey event at the 2002 olympic games?
Ice Hockey	Winter	2002	Ice Hockey	Women	Who won the medals in the Women's Ice Hockey event at the 2002 olympic games?
Swimming	Summer	2004	4 x 100 metres Freestyle Relay	Men	Who won the medals in the Men's Swimming 4 x 100 metres Freestyle Relay event at the 2004 olympic games?
Swimming	Summer	2004	4 x 100 metres Freestyle Relay	Women	Who won the medals in the Women's Swimming 4 x 100 metres Freestyle Relay event at the 2004 olympic games?
Swimming	Summer	2004	4 x 100 metres Medley Relay	Men	Who won the medals in the Men's Swimming 4 x 100 metres Medley Relay event at the 2004 olympic games?
Swimming	Summer	2004	4 x 100 metres Medley Relay	Women	Who won the medals in the Women's Swimming 4 x 100 metres Medley Relay event at the 2004 olympic games?
Athletics	Summer	2004	4 x 100 metres Relay	Men	Who won the medals in the Men's Athletics 4 x 100 metres Relay event at the 2004 olympic games?
Athletics	Summer	2004	4 x 100 metres Relay	Women	Who won the medals in the Women's Athletics 4 x 100 metres Relay event at the 2004 olympic games?
Swimming	Summer	2004	4 x 200 metres Freestyle Relay	Men	Who won the medals in the Men's Swimming 4 x 200 metres Freestyle Relay event at the 2004 olympic games?
Swimming	Summer	2004	4 x 200 metres Freestyle Relay	Women	Who won the medals in the Women's Swimming 4 x 200 metres Freestyle Relay event at the 2004 olympic games?
Athletics	Summer	2004	4 x 400 metres Relay	Men	Who won the medals in the Men's Athletics 4 x 400 metres Relay event at the 2004 olympic games?
Athletics	Summer	2004	4 x 400 metres Relay	Women	Who won the medals in the Women's Athletics 4 x 400 metres Relay event at the 2004 olympic games?
Basketball	Summer	2004	Basketball	Men	Who won the medals in the Men's Basketball event at the 2004 olympic games?
Basketball	Summer	2004	Basketball	Women	Who won the medals in the Women's Basketball event at the 2004 olympic games?
Rowing	Summer	2004	Coxed Eights	Men	Who won the medals in the Men's Rowing Coxed Eights event at the 2004 olympic games?
Rowing	Summer	2004	Coxed Eights	Women	Who won the medals in the Women's Rowing Coxed Eights event at the 2004 olympic games?
Field Hockey	Summer	2004	Field Hockey	Men	Who won the medals in the Men's Field Hockey event at the 2004 olympic games?
Field Hockey	Summer	2004	Field Hockey	Women	Who won the medals in the Women's Field Hockey event at the 2004 olympic games?
Football	Summer	2004	Football	Men	Who won the medals in the Men's Football event at the 2004 olympic games?
Football	Summer	2004	Football	Women	Who won the medals in the Women's Football event at the 2004 olympic games?
Handball	Summer	2004	Handball	Men	Who won the medals in the Men's Handball event at the 2004 olympic games?
Handball	Summer	2004	Handball	Women	Who won the medals in the Women's Handball event at the 2004 olympic games?
Indoor Volleyball	Summer	2004	Indoor Volleyball	Men	Who won the medals in the Men's Indoor Volleyball event at the 2004 olympic games?
Indoor Volleyball	Summer	2004	Indoor Volleyball	Women	Who won the medals in the Women's Indoor Volleyball event at the 2004 olympic games?
Rowing	Summer	2004	Quadruple Sculls	Men	Who won the medals in the Men's Rowing Quadruple Sculls event at the 2004 olympic games?
Rowing	Summer	2004	Quadruple Sculls	Women	Who won the medals in the Women's Rowing Quadruple Sculls event at the 2004 olympic games?
Archery	Summer	2004	Team	Men	Who won the medals in the Men's Archery Team event at the 2004 olympic games?
Archery	Summer	2004	Team	Women	Who won the medals in the Women's Archery Team event at the 2004 olympic games?
Artistic Gymnastics	Summer	2004	Team All-Around	Men	Who won the medals in the Men's Artistic Gymnastics Team All-Around event at the 2004 olympic games?
Artistic Gymnastics	Summer	2004	Team All-Around	Women	Who won the medals in the Women's Artistic Gymnastics Team All-Around event at the 2004 olympic games?
Water Polo	Summer	2004	Water Polo	Men	Who won the medals in the Men's Water Polo event at the 2004 olympic games?
Water Polo	Summer	2004	Water Polo	Women	Who won the medals in the Women's Water Polo event at the 2004 olympic games?
Fencing	Summer	2004	Épée, Team	Men	Who won the medals in the Men's Fencing Épée, Team event at the 2004 olympic games?
Fencing	Summer	2004	Épée, Team	Women	Who won the medals in the Women's Fencing Épée, Team event at the 2004 olympic games?
Curling	Winter	2006	Curling	Men	Who won the medals in the Men's Curling event at the 2006 olympic games?
Curling	Winter	2006	Curling	Women	Who won the medals in the Women's Curling event at the 2006 olympic games?
Ice Hockey	Winter	2006	Ice Hockey	Men	Who won the medals in the Men's Ice Hockey event at the 2006 olympic games?
Ice Hockey	Winter	2006	Ice Hockey	Women	Who won the medals in the Women's Ice Hockey event at the 2006 olympic games?
Swimming	Summer	2008	4 x 100 metres Freestyle Relay	Men	Who won the medals in the Men's Swimming 4 x 100 metres Freestyle Relay event at the 2008 olympic games?
Swimming	Summer	2008	4 x 100 metres Freestyle Relay	Women	Who won the medals in the Women's Swimming 4 x 100 metres Freestyle Relay event at the 2008 olympic games?
Swimming	Summer	2008	4 x 100 metres Medley Relay	Men	Who won the medals in the Men's Swimming 4 x 100 metres Medley Relay event at the 2008 olympic games?
Swimming	Summer	2008	4 x 100 metres Medley Relay	Women	Who won the medals in the Women's Swimming 4 x 100 metres Medley Relay event at the 2008 olympic games?
Athletics	Summer	2008	4 x 100 metres Relay	Men	Who won the medals in the Men's Athletics 4 x 100 metres Relay event at the 2008 olympic games?
Athletics	Summer	2008	4 x 100 metres Relay	Women	Who won the medals in the Women's Athletics 4 x 100 metres Relay event at the 2008 olympic games?
Swimming	Summer	2008	4 x 200 metres Freestyle Relay	Men	Who won the medals in the Men's Swimming 4 x 200 metres Freestyle Relay event at the 2008 olympic games?
Swimming	Summer	2008	4 x 200 metres Freestyle Relay	Women	Who won the medals in the Women's Swimming 4 x 200 metres Freestyle Relay event at the 2008 olympic games?
Athletics	Summer	2008	4 x 400 metres Relay	Men	Who won the medals in the Men's Athletics 4 x 400 metres Relay event at the 2008 olympic games?
Athletics	Summer	2008	4 x 400 metres Relay	Women	Who won the medals in the Women's Athletics 4 x 400 metres Relay event at the 2008 olympic games?
Basketball	Summer	2008	Basketball	Men	Who won the medals in the Men's Basketball event at the 2008 olympic games?
Basketball	Summer	2008	Basketball	Women	Who won the medals in the Women's Basketball event at the 2008 olympic games?
Rowing	Summer	2008	Coxed Eights	Men	Who won the medals in the Men's Rowing Coxed Eights event at the 2008 olympic games?
Rowing	Summer	2008	Coxed Eights	Women	Who won the medals in the Women's Rowing Coxed Eights event at the 2008 olympic games?
Field Hockey	Summer	2008	Field Hockey	Men	Who won the medals in the Men's Field Hockey event at the 2008 olympic games?
Field Hockey	Summer	2008	Field Hockey	Women	Who won the medals in the Women's Field Hockey event at the 2008 olympic games?
Football	Summer	2008	Football	Men	Who won the medals in the Men's Football event at the 2008 olympic games?
Football	Summer	2008	Football	Women	Who won the medals in the Women's Football event at the 2008 olympic games?
Handball	Summer	2008	Handball	Men	Who won the medals in the Men's Handball event at the 2008 olympic games?
Handball	Summer	2008	Handball	Women	Who won the medals in the Women's Handball event at the 2008 olympic games?
Indoor Volleyball	Summer	2008	Indoor Volleyball	Men	Who won the medals in the Men's Indoor Volleyball event at the 2008 olympic games?
Indoor Volleyball	Summer	2008	Indoor Volleyball	Women	Who won the medals in the Women's Indoor Volleyball event at the 2008 olympic games?
Rowing	Summer	2008	Quadruple Sculls	Men	Who won the medals in the Men's Rowing Quadruple Sculls event at the 2008 olympic games?
Rowing	Summer	2008	Quadruple Sculls	Women	Who won the medals in the Women's Rowing Quadruple Sculls event at the 2008 olympic games?
Fencing	Summer	2008	Sabre, Team	Men	Who won the medals in the Men's Fencing Sabre, Team event at the 2008 olympic games?
Fencing	Summer	2008	Sabre, Team	Women	Who won the medals in the Women's Fencing Sabre, Team event at the 2008 olympic games?
Archery	Summer	2008	Team	Men	Who won the medals in the Men's Archery Team event at the 2008 olympic games?
Archery	Summer	2008	Team	Women	Who won the medals in the Women's Archery Team event at the 2008 olympic games?
Table Tennis	Summer	2008	Team	Men	Who won the medals in the Men's Table Tennis Team event at the 2008 olympic games?
Table Tennis	Summer	2008	Team	Women	Who won the medals in the Women's Table Tennis Team event at the 2008 olympic games?
Artistic Gymnastics	Summer	2008	Team All-Around	Men	Who won the medals in the Men's Artistic Gymnastics Team All-Around event at the 2008 olympic games?
Artistic Gymnastics	Summer	2008	Team All-Around	Women	Who won the medals in the Women's Artistic Gymnastics Team All-Around event at the 2008 olympic games?
Water Polo	Summer	2008	Water Polo	Men	Who won the medals in the Men's Water Polo event at the 2008 olympic games?
Water Polo	Summer	2008	Water Polo	Women	Who won the medals in the Women's Water Polo event at the 2008 olympic games?
Curling	Winter	2010	Curling	Men	Who won the medals in the Men's Curling event at the 2010 olympic games?
Curling	Winter	2010	Curling	Women	Who won the medals in the Women's Curling event at the 2010 olympic games?
Ice Hockey	Winter	2010	Ice Hockey	Men	Who won the medals in the Men's Ice Hockey event at the 2010 olympic games?
Ice Hockey	Winter	2010	Ice Hockey	Women	Who won the medals in the Women's Ice Hockey event at the 2010 olympic games?
Swimming	Summer	2012	4 x 100 metres Freestyle Relay	Men	Who won the medals in the Men's Swimming 4 x 100 metres Freestyle Relay event at the 2012 olympic games?
Swimming	Summer	2012	4 x 100 metres Freestyle Relay	Women	Who won the medals in the Women's Swimming 4 x 100 metres Freestyle Relay event at the 2012 olympic games?
Swimming	Summer	2012	4 x 100 metres Medley Relay	Men	Who won the medals in the Men's Swimming 4 x 100 metres Medley Relay event at the 2012 olympic games?
Swimming	Summer	2012	4 x 100 metres Medley Relay	Women	Who won the medals in the Women's Swimming 4 x 100 metres Medley Relay event at the 2012 olympic games?
Athletics	Summer	2012	4 x 100 metres Relay	Men	Who won the medals in the Men's Athletics 4 x 100 metres Relay event at the 2012 olympic games?
Athletics	Summer	2012	4 x 100 metres Relay	Women	Who won the medals in the Women's Athletics 4 x 100 metres Relay event at the 2012 olympic games?
Swimming	Summer	2012	4 x 200 metres Freestyle Relay	Men	Who won the medals in the Men's Swimming 4 x 200 metres Freestyle Relay event at the 2012 olympic games?
Swimming	Summer	2012	4 x 200 metres Freestyle Relay	Women	Who won the medals in the Women's Swimming 4 x 200 metres Freestyle Relay event at the 2012 olympic games?
Athletics	Summer	2012	4 x 400 metres Relay	Men	Who won the medals in the Men's Athletics 4 x 400 metres Relay event at the 2012 olympic games?
Athletics	Summer	2012	4 x 400 metres Relay	Women	Who won the medals in the Women's Athletics 4 x 400 metres Relay event at the 2012 olympic games?
Basketball	Summer	2012	Basketball	Men	Who won the medals in the Men's Basketball event at the 2012 olympic games?
Basketball	Summer	2012	Basketball	Women	Who won the medals in the Women's Basketball event at the 2012 olympic games?
Rowing	Summer	2012	Coxed Eights	Men	Who won the medals in the Men's Rowing Coxed Eights event at the 2012 olympic games?
Rowing	Summer	2012	Coxed Eights	Women	Who won the medals in the Women's Rowing Coxed Eights event at the 2012 olympic games?
Field Hockey	Summer	2012	Field Hockey	Men	Who won the medals in the Men's Field Hockey event at the 2012 olympic games?
Field Hockey	Summer	2012	Field Hockey	Women	Who won the medals in the Women's Field Hockey event at the 2012 olympic games?
Fencing	Summer	2012	Foil, Team	Men	Who won the medals in the Men's Fencing Foil, Team event at the 2012 olympic games?
Fencing	Summer	2012	Foil, Team	Women	Who won the medals in the Women's Fencing Foil, Team event at the 2012 olympic games?
Football	Summer	2012	Football	Men	Who won the medals in the Men's Football event at the 2012 olympic games?
Football	Summer	2012	Football	Women	Who won the medals in the Women's Football event at the 2012 olympic games?
Handball	Summer	2012	Handball	Men	Who won the medals in the Men's Handball event at the 2012 olympic games?
Handball	Summer	2012	Handball	Women	Who won the medals in the Women's Handball event at the 2012 olympic games?
Indoor Volleyball	Summer	2012	Indoor Volleyball	Men	Who won the medals in the Men's Indoor Volleyball event at the 2012 olympic games?
