Discipline	Season	Year	Event	Prompt
Swimming	Summer	1996	4 x 100 metres Freestyle Relay	Who won the medals in the Swimming 4 x 100 metres Freestyle Relay event at the 1996 olympic games?
Swimming	Summer	1996	4 x 100 metres Medley Relay	Who won the medals in the Swimming 4 x 100 metres Medley Relay event at the 1996 olympic games?
Athletics	Summer	1996	4 x 100 metres Relay	Who won the medals in the Athletics 4 x 100 metres Relay event at the 1996 olympic games?
Swimming	Summer	1996	4 x 200 metres Freestyle Relay	Who won the medals in the Swimming 4 x 200 metres Freestyle Relay event at the 1996 olympic games?
Athletics	Summer	1996	4 x 400 metres Relay	Who won the medals in the Athletics 4 x 400 metres Relay event at the 1996 olympic games?
Basketball	Summer	1996	Basketball	Who won the medals in the Basketball event at the 1996 olympic games?
Rowing	Summer	1996	Coxed Eights	Who won the medals in the Rowing Coxed Eights event at the 1996 olympic games?
Field Hockey	Summer	1996	Field Hockey	Who won the medals in the Field Hockey event at the 1996 olympic games?
Fencing	Summer	1996	Foil, Team	Who won the medals in the Fencing Foil, Team event at the 1996 olympic games?
Football	Summer	1996	Football	Who won the medals in the Football event at the 1996 olympic games?
Handball	Summer	1996	Handball	Who won the medals in the Handball event at the 1996 olympic games?
Indoor Volleyball	Summer	1996	Indoor Volleyball	Who won the medals in the Indoor Volleyball event at the 1996 olympic games?
Rowing	Summer	1996	Quadruple Sculls	Who won the medals in the Rowing Quadruple Sculls event at the 1996 olympic games?
Archery	Summer	1996	Team	Who won the medals in the Archery Team event at the 1996 olympic games?
Artistic Gymnastics	Summer	1996	Team All-Around	Who won the medals in the Artistic Gymnastics Team All-Around event at the 1996 olympic games?
Fencing	Summer	1996	Épée, Team	Who won the medals in the Fencing Épée, Team event at the 1996 olympic games?
Biathlon	Winter	1998	4 x 7.5 kilometres Relay	Who won the medals in the Biathlon 4 x 7.5 kilometres Relay event at the 1998 olympic games?
Curling	Winter	1998	Curling	Who won the medals in the Curling event at the 1998 olympic games?
Ice Hockey	Winter	1998	Ice Hockey	Who won the medals in the Ice Hockey event at the 1998 olympic games?
Swimming	Summer	2000	4 x 100 metres Freestyle Relay	Who won the medals in the Swimming 4 x 100 metres Freestyle Relay event at the 2000 olympic games?
Swimming	Summer	2000	4 x 100 metres Medley Relay	Who won the medals in the Swimming 4 x 100 metres Medley Relay event at the 2000 olympic games?
Athletics	Summer	2000	4 x 100 metres Relay	Who won the medals in the Athletics 4 x 100 metres Relay event at the 2000 olympic games?
Swimming	Summer	2000	4 x 200 metres Freestyle Relay	Who won the medals in the Swimming 4 x 200 metres Freestyle Relay event at the 2000 olympic games?
Athletics	Summer	2000	4 x 400 metres Relay	Who won the medals in the Athletics 4 x 400 metres Relay event at the 2000 olympic games?
Basketball	Summer	2000	Basketball	Who won the medals in the Basketball event at the 2000 olympic games?
Rowing	Summer	2000	Coxed Eights	Who won the medals in the Rowing Coxed Eights event at the 2000 olympic games?
Field Hockey	Summer	2000	Field Hockey	Who won the medals in the Field Hockey event at the 2000 olympic games?
Fencing	Summer	2000	Foil, Team	Who won the medals in the Fencing Foil, Team event at the 2000 olympic games?
Football	Summer	2000	Football	Who won the medals in the Football event at the 2000 olympic games?
Handball	Summer	2000	Handball	Who won the medals in the Handball event at the 2000 olympic games?
Indoor Volleyball	Summer	2000	Indoor Volleyball	Who won the medals in the Indoor Volleyball event at the 2000 olympic games?
Rowing	Summer	2000	Quadruple Sculls	Who won the medals in the Rowing Quadruple Sculls event at the 2000 olympic games?
Archery	Summer	2000	Team	Who won the medals in the Archery Team event at the 2000 olympic games?
Artistic Gymnastics	Summer	2000	Team All-Around	Who won the medals in the Artistic Gymnastics Team All-Around event at the 2000 olympic games?
Water Polo	Summer	2000	Water Polo	Who won the medals in the Water Polo event at the 2000 olympic games?
Fencing	Summer	2000	Épée, Team	Who won the medals in the Fencing Épée, Team event at the 2000 olympic games?
Biathlon	Winter	2002	4 x 7.5 kilometres Relay	Who won the medals in the Biathlon 4 x 7.5 kilometres Relay event at the 2002 olympic games?
Curling	Winter	2002	Curling	Who won the medals in the Curling event at the 2002 olympic games?
Ice Hockey	Winter	2002	Ice Hockey	Who won the medals in the Ice Hockey event at the 2002 olympic games?
Swimming	Summer	2004	4 x 100 metres Freestyle Relay	Who won the medals in the Swimming 4 x 100 metres Freestyle Relay event at the 2004 olympic games?
Swimming	Summer	2004	4 x 100 metres Medley Relay	Who won the medals in the Swimming 4 x 100 metres Medley Relay event at the 2004 olympic games?
Athletics	Summer	2004	4 x 100 metres Relay	Who won the medals in the Athletics 4 x 100 metres Relay event at the 2004 olympic games?
Swimming	Summer	2004	4 x 200 metres Freestyle Relay	Who won the medals in the Swimming 4 x 200 metres Freestyle Relay event at the 2004 olympic games?
Athletics	Summer	2004	4 x 400 metres Relay	Who won the medals in the Athletics 4 x 400 metres Relay event at the 2004 olympic games?
Basketball	Summer	2004	Basketball	Who won the medals in the Basketball event at the 2004 olympic games?
Rowing	Summer	2004	Coxed Eights	Who won the medals in the Rowing Coxed Eights event at the 2004 olympic games?
Field Hockey	Summer	2004	Field Hockey	Who won the medals in the Field Hockey event at the 2004 olympic games?
Football	Summer	2004	Football	Who won the medals in the Football event at the 2004 olympic games?
Handball	Summer	2004	Handball	Who won the medals in the Handball event at the 2004 olympic games?
Indoor Volleyball	Summer	2004	Indoor Volleyball	Who won the medals in the Indoor Volleyball event at the 2004 olympic games?
Rowing	Summer	2004	Quadruple Sculls	Who won the medals in the Rowing Quadruple Sculls event at the 2004 olympic games?
Archery	Summer	2004	Team	Who won the medals in the Archery Team event at the 2004 olympic games?
Artistic Gymnastics	Summer	2004	Team All-Around	Who won the medals in the Artistic Gymnastics Team All-Around event at the 2004 olympic games?
Water Polo	Summer	2004	Water Polo	Who won the medals in the Water Polo event at the 2004 olympic games?
Fencing	Summer	2004	Épée, Team	Who won the medals in the Fencing Épée, Team event at the 2004 olympic games?
Curling	Winter	2006	Curling	Who won the medals in the Curling event at the 2006 olympic games?
Ice Hockey	Winter	2006	Ice Hockey	Who won the medals in the Ice Hockey event at the 2006 olympic games?
Swimming	Summer	2008	4 x 100 metres Freestyle Relay	Who won the medals in the Swimming 4 x 100 metres Freestyle Relay event at the 2008 olympic games?
Swimming	Summer	2008	4 x 100 metres Medley Relay	Who won the medals in the Swimming 4 x 100 metres Medley Relay event at the 2008 olympic games?
Athletics	Summer	2008	4 x 100 metres Relay	Who won the medals in the Athletics 4 x 100 metres Relay event at the 2008 olympic games?
Swimming	Summer	2008	4 x 200 metres Freestyle Relay	Who won the medals in the Swimming 4 x 200 metres Freestyle Relay event at the 2008 olympic games?
Athletics	Summer	2008	4 x 400 metres Relay	Who won the medals in the Athletics 4 x 400 metres Relay event at the 2008 olympic games?
Basketball	Summer	2008	Basketball	Who won the medals in the Basketball event at the 2008 olympic games?
Rowing	Summer	2008	Coxed Eights	Who won the medals in the Rowing Coxed Eights event at the 2008 olympic games?
Field Hockey	Summer	2008	Field Hockey	Who won the medals in the Field Hockey event at the 2008 olympic games?
Football	Summer	2008	Football	Who won the medals in the Football event at the 2008 olympic games?
Handball	Summer	2008	Handball	Who won the medals in the Handball event at the 2008 olympic games?
Indoor Volleyball	Summer	2008	Indoor Volleyball	Who won the medals in the Indoor Volleyball event at the 2008 olympic games?
Rowing	Summer	2008	Quadruple Sculls	Who won the medals in the Rowing Quadruple Sculls event at the 2008 olympic games?
Fencing	Summer	2008	Sabre, Team	Who won the medals in the Fencing Sabre, Team event at the 2008 olympic games?
Archery	Summer	2008	Team	Who won the medals in the Archery Team event at the 2008 olympic games?
Table Tennis	Summer	2008	Team	Who won the medals in the Table Tennis Team event at the 2008 olympic games?
Artistic Gymnastics	Summer	2008	Team All-Around	Who won the medals in the Artistic Gymnastics Team All-Around event at the 2008 olympic games?
Water Polo	Summer	2008	Water Polo	Who won the medals in the Water Polo event at the 2008 olympic games?
Curling	Winter	2010	Curling	Who won the medals in the Curling event at the 2010 olympic games?
Ice Hockey	Winter	2010	Ice Hockey	Who won the medals in the Ice Hockey event at the 2010 olympic games?
Swimming	Summer	2012	4 x 100 metres Freestyle Relay	Who won the medals in the Swimming 4 x 100 metres Freestyle Relay event at the 2012 olympic games?
Swimming	Summer	2012	4 x 100 metres Medley Relay	Who won the medals in the Swimming 4 x 100 metres Medley Relay event at the 2012 olympic games?
Athletics	Summer	2012	4 x 100 metres Relay	Who won the medals in the Athletics 4 x 100 metres Relay event at the 2012 olympic games?
Swimming	Summer	2012	4 x 200 metres Freestyle Relay	Who won the medals in the Swimming 4 x 200 metres Freestyle Relay event at the 2012 olympic games?
Athletics	Summer	2012	4 x 400 metres Relay	Who won the medals in the Athletics 4 x 400 metres Relay event at the 2012 olympic games?
Basketball	Summer	2012	Basketball	Who won the medals in the Basketball event at the 2012 olympic games?
Rowing	Summer	2012	Coxed Eights	Who won the medals in the Rowing Coxed Eights event at the 2012 olympic games?
Field Hockey	Summer	2012	Field Hockey	Who won the medals in the Field Hockey event at the 2012 olympic games?
Fencing	Summer	2012	Foil, Team	Who won the medals in the Fencing Foil, Team event at the 2012 olympic games?
Football	Summer	2012	Football	Who won the medals in the Football event at the 2012 olympic games?
Handball	Summer	2012	Handball	Who won the medals in the Handball event at the 2012 olympic games?
Indoor Volleyball	Summer	2012	Indoor Volleyball	Who won the medals in the Indoor Volleyball event at the 2012 olympic games?
Rowing	Summer	2012	Quadruple Sculls	Who won the medals in the Rowing Quadruple Sculls event at the 2012 olympic games?
Archery	Summer	2012	Team	Who won the medals in the Archery Team event at the 2012 olympic games?
Table Tennis	Summer	2012	Team	Who won the medals in the Table Tennis Team event at the 2012 olympic games?
Artistic Gymnastics	Summer	2012	Team All-Around	Who won the medals in the Artistic Gymnastics Team All-Around event at the 2012 olympic games?
Water Polo	Summer	2012	Water Polo	Who won the medals in the Water Polo event at the 2012 olympic games?
Curling	Winter	2014	Curling	Who won the medals in the Curling event at the 2014 olympic games?
Ice Hockey	Winter	2014	Ice Hockey	Who won the medals in the Ice Hockey event at the 2014 olympic games?
Swimming	Summer	2016	4 x 100 metres Freestyle Relay	Who won the medals in the Swimming 4 x 100 metres Freestyle Relay event at the 2016 olympic games?
Swimming	Summer	2016	4 x 100 metres Medley Relay	Who won the medals in the Swimming 4 x 100 metres Medley Relay event at the 2016 olympic games?
Athletics	Summer	2016	4 x 100 metres Relay	Who won the medals in the Athletics 4 x 100 metres Relay event at the 2016 olympic games?
Swimming	Summer	2016	4 x 200 metres Freestyle Relay	Who won the medals in the Swimming 4 x 200 metres Freestyle Relay event at the 2016 olympic games?
Athletics	Summer	2016	4 x 400 metres Relay	Who won the medals in the Athletics 4 x 400 metres Relay event at the 2016 olympic games?
Basketball	Summer	2016	Basketball	Who won the medals in the Basketball event at the 2016 olympic games?
Rowing	Summer	2016	Coxed Eights	Who won the medals in the Rowing Coxed Eights event at the 2016 olympic games?
Field Hockey	Summer	2016	Field Hockey	Who won the medals in the Field Hockey event at the 2016 olympic games?
Football	Summer	2016	Football	Who won the medals in the Football event at the 2016 olympic games?
Handball	Summer	2016	Handball	Who won the medals in the Handball event at the 2016 olympic games?
Indoor Volleyball	Summer	2016	Indoor Volleyball	Who won the medals in the Indoor Volleyball event at the 2016 olympic games?
Rowing	Summer	2016	Quadruple Sculls	Who won the medals in the Rowing Quadruple Sculls event at the 2016 olympic games?
Rugby	Summer	2016	Rugby Sevens	Who won the medals in the Rugby Rugby Sevens event at the 2016 olympic games?
Archery	Summer	2016	Team	Who won the medals in the Archery Team event at the 2016 olympic games?
Table Tennis	Summer	2016	Team	Who won the medals in the Table Tennis Team event at the 2016 olympic games?
Artistic Gymnastics	Summer	2016	Team All-Around	Who won the medals in the Artistic Gymnastics Team All-Around event at the 2016 olympic games?
Cycling Track	Summer	2016	Team Pursuit, 4,000 metres	Who won the medals in the Cycling Track Team Pursuit, 4,000 metres event at the 2016 olympic games?
Water Polo	Summer	2016	Water Polo	Who won the medals in the Water Polo event at the 2016 olympic games?
Fencing	Summer	2016	Épée, Team	Who won the medals in the Fencing Épée, Team event at the 2016 olympic games?
Curling	Winter	2018	Curling	Who won the medals in the Curling event at the 2018 olympic games?
Ice Hockey	Winter	2018	Ice Hockey	Who won the medals in the Ice Hockey event at the 2018 olympic games?
3x3 Basketball	Summer	2020		Who won the medals in the 3x3 Basketball event at the 2020 olympic games?
Basketball	Summer	2020		Who won the medals in the Basketball event at the 2020 olympic games?
Field Hockey	Summer	2020		Who won the medals in the Field Hockey event at the 2020 olympic games?
Football	Summer	2020		Who won the medals in the Football event at the 2020 olympic games?
Handball	Summer	2020		Who won the medals in the Handball event at the 2020 olympic games?
Indoor Volleyball	Summer	2020		Who won the medals in the Indoor Volleyball event at the 2020 olympic games?
Rugby Sevens	Summer	2020		Who won the medals in the Rugby Sevens event at the 2020 olympic games?
Water Polo	Summer	2020		Who won the medals in the Water Polo event at the 2020 olympic games?
Swimming	Summer	2020	4 x 100m Freestyle Relay	Who won the medals in the Swimming 4 x 100m Freestyle Relay event at the 2020 olympic games?
Swimming	Summer	2020	4 x 100m Medley Relay	Who won the medals in the Swimming 4 x 100m Medley Relay event at the 2020 olympic games?
Athletics	Summer	2020	4 x 100m Relay	Who won the medals in the Athletics 4 x 100m Relay event at the 2020 olympic games?
Swimming	Summer	2020	4 x 200m Freestyle Relay	Who won the medals in the Swimming 4 x 200m Freestyle Relay event at the 2020 olympic games?
Athletics	Summer	2020	4 x 400m Relay	Who won the medals in the Athletics 4 x 400m Relay event at the 2020 olympic games?
Rowing	Summer	2020	Eight	Who won the medals in the Rowing Eight event at the 2020 olympic games?
Fencing	Summer	2020	Epée Team	Who won the medals in the Fencing Epée Team event at the 2020 olympic games?
Fencing	Summer	2020	Foil Team	Who won the medals in the Fencing Foil Team event at the 2020 olympic games?
Rowing	Summer	2020	Four	Who won the medals in the Rowing Four event at the 2020 olympic games?
Canoe Sprint	Summer	2020	Kayak Four 500m	Who won the medals in the Canoe Sprint Kayak Four 500m event at the 2020 olympic games?
Rowing	Summer	2020	Quadruple Sculls	Who won the medals in the Rowing Quadruple Sculls event at the 2020 olympic games?
Fencing	Summer	2020	Sabre Team	Who won the medals in the Fencing Sabre Team event at the 2020 olympic games?
Archery	Summer	2020	Team	Who won the medals in the Archery Team event at the 2020 olympic games?
Artistic Gymnastics	Summer	2020	Team	Who won the medals in the Artistic Gymnastics Team event at the 2020 olympic games?
Table Tennis	Summer	2020	Team	Who won the medals in the Table Tennis Team event at the 2020 olympic games?
Cycling Track	Summer	2020	Team Pursuit	Who won the medals in the Cycling Track Team Pursuit event at the 2020 olympic games?
